ID_ESCOLA,TX_RESP_Q019_F,TX_RESP_Q023_F,TX_RESP_Q013_C,TX_RESP_Q012_C,TX_RESP_Q014_C,IN_LABORATORIO_CIENCIAS,TX_RESP_Q012_B,IN_COMUM_EJA_FUND,IN_EJA,TX_RESP_Q042_B,TX_RESP_Q041_C,IN_COMUM_FUND_AF,TX_RESP_Q042_C,TX_RESP_Q004_F,TX_RESP_Q004_H,TX_RESP_Q004_G,IDEB 2017,Classe-IDEB
26035111,3.0,1.0,4.0,1.0,8.0,1.0,12.0,0.0,0.0,4.0,3.0,1.0,1.0,5.0,0.0,0.0,4.4,Acima da média
26035138,0.0,0.0,1.0,0.0,3.0,0.0,7.0,1.0,1.0,2.0,2.0,1.0,2.0,4.0,1.0,1.0,3.2,Abaixo da média
26035146,21.0,10.0,23.0,16.0,73.0,0.0,68.0,0.0,1.0,12.0,19.0,1.0,6.0,10.0,8.0,4.0,3.7,Abaixo da média
26035251,0.0,0.0,0.0,0.0,0.0,0.0,4.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,4.2,Acima da média
26035340,0.0,1.0,3.0,0.0,14.0,0.0,17.0,0.0,0.0,2.0,7.0,1.0,3.0,4.0,4.0,1.0,3.8,Abaixo da média
26035367,2.0,0.0,5.0,2.0,9.0,0.0,14.0,1.0,1.0,6.0,18.0,1.0,4.0,7.0,6.0,2.0,3.5,Abaixo da média
26035502,1.0,1.0,1.0,2.0,12.0,0.0,17.0,1.0,1.0,2.0,6.0,1.0,2.0,2.0,2.0,1.0,3.6,Abaixo da média
26035553,23.0,12.0,27.0,6.0,58.0,1.0,52.0,0.0,0.0,2.0,6.0,1.0,0.0,0.0,0.0,1.0,6.0,Acima da média
26035561,6.0,6.0,11.0,5.0,29.0,0.0,41.0,0.0,1.0,2.0,16.0,1.0,1.0,7.0,1.0,4.0,3.7,Abaixo da média
26035600,6.0,4.0,8.0,2.0,31.0,1.0,38.0,0.0,0.0,4.0,7.0,1.0,0.0,3.0,0.0,0.0,4.3,Acima da média
26035979,7.0,3.0,2.0,3.0,19.0,0.0,16.0,0.0,1.0,3.0,2.0,1.0,0.0,1.0,0.0,0.0,4.8,Acima da média
26036037,8.0,5.0,10.0,9.0,42.0,0.0,44.0,0.0,0.0,7.0,15.0,1.0,1.0,2.0,1.0,1.0,3.7,Abaixo da média
26036045,12.0,5.0,12.0,8.0,34.0,0.0,29.0,0.0,0.0,2.0,9.0,1.0,1.0,2.0,1.0,3.0,3.3,Abaixo da média
26036118,1.0,2.0,1.0,0.0,20.0,1.0,19.0,0.0,1.0,2.0,1.0,1.0,1.0,0.0,1.0,0.0,4.0,Média
26036134,5.0,1.0,4.0,2.0,9.0,0.0,16.0,1.0,1.0,10.0,3.0,1.0,1.0,1.0,7.0,2.0,3.8,Abaixo da média
26036169,5.0,1.0,0.0,3.0,9.0,0.0,15.0,1.0,1.0,4.0,5.0,1.0,1.0,4.0,1.0,0.0,3.5,Abaixo da média
26036177,0.0,0.0,1.0,2.0,10.0,0.0,14.0,1.0,1.0,6.0,4.0,1.0,2.0,5.0,3.0,1.0,3.2,Abaixo da média
26036193,0.0,0.0,0.0,2.0,5.0,0.0,9.0,1.0,1.0,5.0,4.0,1.0,4.0,4.0,4.0,3.0,3.6,Abaixo da média
26036207,0.0,0.0,1.0,2.0,4.0,0.0,10.0,1.0,1.0,12.0,12.0,1.0,3.0,3.0,8.0,3.0,3.8,Abaixo da média
26036215,1.0,0.0,3.0,1.0,3.0,0.0,6.0,0.0,0.0,1.0,2.0,1.0,0.0,0.0,2.0,0.0,4.0,Média
26036223,1.0,1.0,0.0,1.0,2.0,0.0,13.0,1.0,1.0,3.0,5.0,1.0,0.0,6.0,1.0,1.0,3.1,Abaixo da média
